PayDay 2  v1.95.895/Update 199.5.1 + 102 DLCs, 279
Tom Clancys Splinter Cell: Blacklist  Digital Deluxe Edition v1.03 + 2 DLCs, 277
Devil May Cry HD Collection, 274
A Total War Saga: Thrones of Britannia  v1.0.11578 + Multiplayer, 271
ELEX  v1.0.2981.0 Build 427388, 270
Mirrors Edge: Catalyst  v1.0.3.47248 + 2 DLC, 270
Half-Life: Source Quadrilogy  v09.26.2019 + 4 OSTs, 269
Train Sim World 2020  Build 550/4667268 (02.13.2020) + 22 DLCs, 267
Unravel Two  v1.0.0.47008, 263
Two Point Hospital  v1.19.49336 + 9 DLCs, 261
Bayonetta 2, 260
Spyro Reignited Trilogy, 258
The King of Fighters XIV: Steam Edition  v1.19 + 2 DLCs, 258
World of Final Fantasy: Day One Edition + MAXIMA Upgrade, 258
Titan Quest: Anniversary Edition  v2.3.0 + 2 DLCs, 257
Yu-Gi-Oh! Legacy of the Duelist + 18 DLCs + Multiplayer, 257
Darksiders: Warmastered Edition + Update 11 (v1.00 cs:2617), 252
Agony UNRATED, 251
ECHO + HotFix/Update 2, 251
Metro Redux (2033 + Last Light)  GOG v2.0.0.2 + Update 7, 251
Pillars of Eternity 2: Deadfire  v4.0.0.0034 + All DLCs, 247
Bayonetta, 245
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD, 245
Disco Elysium  Build 4601387/Hardcore, 244
Car Mechanic Simulator 2018  v1.5.15 Hotfix 1 + 9 DLCs, 243
The Legend of Heroes: Trails of Cold Steel 2 + 13 DLCs, 242
Valkyria Chronicles 4  v1.03 + 5 DLCs, 240
Ashes Cricket  v1.0548, 239
Rise of the Tomb Raider: 20 Year Celebration  v1.0.820.0_64 + All DLCs, 239
.hack//G.U. Last Recode, 238
CoD Black Ops 3 Repack Status, 238
Dynasty Warriors 9  v1.01 + DLC, 238
AO International Tennis  v1.0.1588, 235
Saints Row IV: Game of the Century Edition  v.U22 Steam/v20170523_12199 GOG, 234
X4: Foundations  v3.00 + 2 DLCs, 234
Final Fantasy XII: The Zodiac Age  Day 1 Edition, 233
Batman: Arkham Asylum  Game of the Year Edition + Joker & Prey in the Darkness DLCs, 232
Phoning Home + Update 1, 232
Don Bradman Cricket 17, 231
Sniper Elite 3  v1.15a + All DLCs + Multiplayer, 231
Crackdown 3, 230
Mass Effect 2: Digital Deluxe Edition  v1.02 + DLC Bundle (All DLCs), 230
Friday the 13th: The Game  vB11030 + 7 DLCs, 229
Tropico 6: El Prez Edition  v.10 (97) + 3 DLCs, 229
Killer Instinct: Steam Edition, 228
Ni no Kuni: Wrath of the White Witch  Remastered, 227
Sudden Strike 4: Day One Edition  v1.12.28520 + 4 DLCs, 226
GOD EATER 2: Rage Burst, 225
Journey, 219
Spec Ops: The Line + 2 DLC + Multiplayer, 219
Kingdoms of Amalur: Reckoning  v1.0.0.2 + All DLCs, 218
Life is Strange: Before the Storm  The Limited Edition, 217
Disney Infinity: Gold Collection  1.0 + 2.0 + 3.0, 216
Accel World VS. Sword Art Online: Deluxe Edition, 215
Mass Effect  v1.02 + 2 DLCs + Bonus Content, 215
Strange Brigade: Deluxe Edition  v1.47.22.14 + 10 DLCs + Multiplayer, 215
Football Manager 2017 + Football Manager Touch 2017 + FM Editor  v17.3.1 + 17 DLCs, 214
Mega Man 11, 213
Sonic Mania Plus  v1.05.0713 + Encore DLC, 211
Blair Witch: Deluxe Edition  v08302019/Update 1, 210
Fernbus Simulator + 2 DLCs, 210
Football Manager 2018  v18.3.3, 209
Syberia 3: Digital Deluxe Edition  v3.0 + DLC, 209
The Walking Dead: A New Frontier  Complete Season, 208
Ys VIII: Lacrimosa of Dana  v20200119 HotFix + HQ Texture Pack + All DLCs, 208
Syrian Warfare  v1.2.0.43/1.3.0.19 + 2 DLCs, 207
The Walking Dead: The Telltale Definitive Series, 207
This War of Mine: Final Cut  v6.0.7 + All DLCs + OST, 207
Starpoint Gemini: Warlords  v2.030.0 HotFix + 5 DLCs, 206
Zoo Tycoon: Ultimate Animal Collection, 206
Catherine Classic, 205
Dishonored: Game of the Year/Definitive Edition, 203
Fade to Silence  v1.1/1.0.2022 + Multiplayer, 203
A Hat in Time: Ultimate Edition  Build 3835273 + All DLCs, 200
CHUCHEL, 200
Darksiders: Genesis  Build #42500 + Digital Extras DLC + Multiplayer, 200
Resident Evil 6  v1.10/1.06 + All DLCs + Multiplayer, 200
ZOMBI v1.1, 200
Borderlands 2  v1.8.4 + All DLCs, 199
Bulletstorm: Full Clip Edition, 196
Okami HD + CrackFix, 196
Assetto Corsa Competizione  v1.3.1 + Intercontinental GT Pack DLC, 194
Octopath Traveler + Update 1, 194
The Witcher: Enhanced Edition  Directors Cut  v1.5 GOG + All DLCs, 194
Ashes of the Singularity: Escalation  v2.90.69534 + 12 DLCs, 193
Mutant Year Zero: Road to Eden  v1.07 + 2 DLCs, 192
Styx: Shards of Darkness  v1.05 + DLC, 192
Final Fantasy VIII Remastered, 191
NARUTO: Ultimate Ninja STORM, 191
DiRT Rally  v1.23, 189
Sonic Forces  v1.04.79 + 6 DLCs, 189
Guilty Gear Xrd REV 2 + All DLC, 186
Little Nightmares: Complete Edition + OST + Wallpapers, 185
